ID,Case Number,Date,Latitude,Longitude
4927916,HK583274,08/26/2004 05:57:30 PM,,
4927919,HK714802,10/28/2004 01:01:04 AM,,
4927923,HK585136,08/27/2004 03:20:00 PM,,
4927930,HK735812,11-06-2004 23:17,,
4927937,HK593396,08/31/2004 01:32:00 PM,,
4927940,HK776526,11/27/2004 09:53:00 PM,,
4927945,HK598848,09-02-2004 21:26,,
4927948,HK780996,11/30/2004 09:53:08 AM,,
4927951,HK599241,09-03-2004 03:30,,
4927955,HK782175,11/30/2004 09:18:00 PM,,
4927960,HK611621,09-09-2004 00:26,,
4927965,HK624053,09/14/2004 06:10:40 PM,,
4927970,HK782255,11/30/2004 09:20:00 PM,,
4927974,HK782399,11/30/2004 10:49:07 PM,,
4927975,HK624143,09/14/2004 09:44:39 PM,,
4927980,HK790661,12-05-2004 04:20,,
4927983,HK625225,09/15/2004 01:03:54 PM,,
4927992,HK635968,09/20/2004 01:43:50 PM,,
4927996,HK791831,12-05-2004 20:48,,
4928000,HK644742,09/24/2004 12:33:00 PM,,
4928002,HK803638,12-11-2004 19:32,,
4928006,HK652392,09/28/2004 02:13:08 AM,,
4928015,HK652950,09/28/2004 11:09:06 AM,,
4928020,HK656445,09/29/2004 11:03:15 PM,,
4928022,HK804515,12-12-2004 10:55,,
4928029,HK817094,12/19/2004 04:49:48 AM,,
4928034,HK818166,12/19/2004 07:53:11 PM,,
4928036,HK675227,10-08-2004 21:28,,
4928043,HK675357,10-08-2004 22:45,,
4928058,HK687398,10/14/2004 11:32:54 PM,,
4928065,HK698391,10/20/2004 02:18:53 PM,,
4928208,HM543524,12/29/2004 12:00:00 AM,,
4928425,HK819960,12/20/2004 09:06:40 PM,,
4928442,HK823791,12/22/2004 11:46:00 PM,,
4928446,HK829396,12/26/2004 09:50:36 PM,,
4928464,HK832602,12/28/2004 04:31:00 PM,,
4928614,HK833362,12/29/2004 03:11:31 AM,,
4930029,HM545294,12-12-2004 10:00,,
4812581,HM426242,01-01-2003 09:00,41.93574044,-87.69859803
4932054,HM547188,09-07-2002 00:00,,
4995790,HM603089,10-04-2004 08:00,,
4815420,HM428245,12-10-2003 00:01,41.89596904,-87.63716073
4999204,HM610462,07-03-2004 09:00,,
4934477,HM541859,02-01-2002 00:00,,
4934551,HM545381,10-01-2004 12:00,,
4816230,HM423688,01-01-2003 09:00,41.76525962,-87.66018757
5066043,HM667621,06/24/2003 10:00:00 AM,,
4818199,HM430638,06/22/2003 12:00:00 AM,41.88274844,-87.63238713
4936276,HM548388,04-01-2002 12:00,,
4936827,HM545658,12-10-2004 10:00,,
4937444,HM547272,01-01-2004 00:01,,
4937745,HM553089,08/31/2004 12:00:00 AM,,
4937850,HM553073,01-02-2004 00:00,,
4937971,HM547248,08/16/2004 11:00:00 PM,,
4941319,HM555856,04-01-2004 10:00,,
4940788,HM555451,08/31/2001 12:00:00 AM,41.88459422,-87.62460729
4941408,HM555968,11-01-2004 09:00,,
4942776,HM554654,03-01-2001 09:00,41.93569388,-87.74445132
4944151,HM557059,04-01-2004 00:01,,
4825119,HM427635,07-01-2003 09:00,41.74801655,-87.651243
4944708,HM557003,01/19/2004 09:00:00 AM,,
4945626,HM553346,04-01-2004 06:00,,
4946552,HM558301,01-01-2004 09:00,,
4947199,HM559628,07-01-2001 00:01,41.80872263,-87.66423707
4948495,HM561700,08-01-2002 12:00,,
4952195,HM566703,07/13/2004 12:00:00 PM,,
4952363,HM541269,07-01-2004 06:00,,
4953454,HM566849,05-01-2004 00:00,,
4954005,HM567542,06/22/2002 09:00:00 AM,,
4955041,HM568782,07-01-2001 00:00,41.85279311,-87.62804905
4957379,HM567641,12/20/2004 09:00:00 AM,,
4958164,HM571127,01-01-2002 00:01,,
4838427,HM446611,01-01-2003 09:00,41.74833016,-87.61489449
4958783,HM571597,12-01-2004 00:00,,
4960200,HM572010,10-04-2004 12:00,,
4960658,HM571330,12/31/2004 09:34:00 AM,,
4842508,HM455955,06/17/2003 09:00:00 AM,41.80874744,-87.61385669
4964726,HM577591,01-04-2004 12:00,,
